Status,Group ID,Block,Lot,No,Dir,Street,Suff,Group Address,Property Count,Funding ID,Core Phase,Decision,Start,Date Demo Finish,Neighborhood,Projected Release to contractor,Deconstruction,neighborhood_2,status_2
Final/Full Demo Complete,1519,2178,43,2634,,MAEMPEL,LANE,2628 - 2636  MAEMPEL LANE,5,PLN-380,NA,Full Demolition,10/10/18,11/23/18,SHIPLEY HILL,FY19Q2,N,SHIPLEY HILL,Completed
Final/Full Demo Complete,1519,2178,46,2628,,MAEMPEL,LANE,2628 - 2636  MAEMPEL LANE,5,PLN-380,NA,Full Demolition,10/10/18,11/23/18,SHIPLEY HILL,FY19Q2,N,SHIPLEY HILL,Completed
Final/Full Demo Complete,1519,2178,44,2632,,MAEMPEL,LANE,2628 - 2636  MAEMPEL LANE,5,PLN-380,NA,Full Demolition,10/10/18,11/23/18,SHIPLEY HILL,FY19Q2,N,SHIPLEY HILL,Completed
Final/Full Demo Complete,1519,2178,42,2636,,MAEMPEL,LANE,2628 - 2636  MAEMPEL LANE,5,PLN-380,NA,Full Demolition,10/10/18,11/23/18,SHIPLEY HILL,FY19Q2,N,SHIPLEY HILL,Completed
Final/Full Demo Complete,1519,2178,45,2630,,MAEMPEL,LANE,2628 - 2636  MAEMPEL LANE,5,PLN-380,NA,Full Demolition,10/10/18,11/23/18,SHIPLEY HILL,FY19Q2,N,SHIPLEY HILL,Completed
Final/Full Demo Complete,1520,2140,5,2621,,FREDERICK,AVE,2621 - 2623  FREDERICK AVE,2,PLN-128,NA,Full Demolition,4/11/18,7/5/18,MILLHILL,FY18Q2,N,MILLHILL,Completed
Final/Full Demo Complete,1520,2140,6,2623,,FREDERICK,AVE,2621 - 2623  FREDERICK AVE,2,PLN-128,NA,Full Demolition,4/11/18,7/5/18,MILLHILL,FY18Q2,N,MILLHILL,Completed
Start Demo - Full,1522,4137,27,2700,,KENNEDY,AVE,2700 - 2710  KENNEDY AVE,6,ProjectCore(19),1,Full Demolition,12/4/18,,COLDSTREAM HOMESTEAD MONTEBELL,FY19Q3,Y,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1522,4137,027A,2702,,KENNEDY,AVE,2700 - 2710  KENNEDY AVE,6,ProjectCore(19),1,Full Demolition,12/4/18,,COLDSTREAM HOMESTEAD MONTEBELL,FY19Q3,Y,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1522,4137,028A,2706,,KENNEDY,AVE,2700 - 2710  KENNEDY AVE,6,ProjectCore(19),1,Full Demolition,12/4/18,,COLDSTREAM HOMESTEAD MONTEBELL,FY19Q3,Y,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1522,4137,028B,2708,,KENNEDY,AVE,2700 - 2710  KENNEDY AVE,6,ProjectCore(19),1,Full Demolition,12/4/18,,COLDSTREAM HOMESTEAD MONTEBELL,FY19Q3,Y,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1522,4137,028C,2710,,KENNEDY,AVE,2700 - 2710  KENNEDY AVE,6,ProjectCore(19),1,Full Demolition,12/4/18,,COLDSTREAM HOMESTEAD MONTEBELL,FY19Q3,Y,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1522,4137,28,2704,,KENNEDY,AVE,2700 - 2710  KENNEDY AVE,6,ProjectCore(19),1,Full Demolition,12/4/18,,COLDSTREAM HOMESTEAD MONTEBELL,FY19Q3,Y,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1523,3936,103,2758,,FENWICK,AVE,2758-2770  FENWICK AVE,7,PROJECTCORE(16),1,Full Demolition,1/4/19,,COLDSTREAM HOMESTEAD MONTEBELL,FY18Q2,N,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1523,3936,108,2768,,FENWICK,AVE,2758-2770  FENWICK AVE,7,PROJECTCORE(16),1,Full Demolition,1/4/19,,COLDSTREAM HOMESTEAD MONTEBELL,FY18Q2,N,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1523,3936,104,2760,,FENWICK,AVE,2758-2770  FENWICK AVE,7,PROJECTCORE(16),1,Full Demolition,1/4/19,,COLDSTREAM HOMESTEAD MONTEBELL,FY18Q2,N,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1523,3936,106,2764,,FENWICK,AVE,2758-2770  FENWICK AVE,7,PROJECTCORE(16),1,Full Demolition,1/4/19,,COLDSTREAM HOMESTEAD MONTEBELL,FY18Q2,N,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1523,3936,109,2770,,FENWICK,AVE,2758-2770  FENWICK AVE,7,PROJECTCORE(16),1,Full Demolition,1/4/19,,COLDSTREAM HOMESTEAD MONTEBELL,FY18Q2,N,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1523,3936,107,2766,,FENWICK,AVE,2758-2770  FENWICK AVE,7,PROJECTCORE(16),1,Full Demolition,1/4/19,,COLDSTREAM HOMESTEAD MONTEBELL,FY18Q2,N,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1523,3936,105,2762,,FENWICK,AVE,2758-2770  FENWICK AVE,7,PROJECTCORE(16),1,Full Demolition,1/4/19,,COLDSTREAM HOMESTEAD MONTEBELL,FY18Q2,N,COLDSTREAM HOMESTEAD MONTEBELL,Started but not complete
Start Demo - Full,1527,2386,23,2847,,PROSPECT,ST,2843 - 2849  PROSPECT ST,4,PLN-390,NA,Full Demolition,1/15/19,,MOSHER,FY19Q3,N,MOSHER,Started but not complete
