block,buildingaddress,councildistrict,location,lot,neighborhood,noticedate,policedistrict,referenceid
0158,308 N FREMONT AVE,9,"(39.29304745, -76.6313671)",040,Poppleton,2018-10-31T04:00:00Z,Western,0158 040 103118
0159,2202 W LEXINGTON ST,9,"(39.29062586, -76.65180914)",025,Penrose/Fayette Street Outreach,2018-08-26T04:00:00Z,Western,0159 025 082618
0159A,2204 PENROSE AVE,9,"(39.29131075, -76.65189772)",003,Penrose/Fayette Street Outreach,2018-10-19T04:00:00Z,Western,0159A003 101918
0162,240 N MONROE ST,9,"(39.29164854, -76.64738344)",103,Penrose/Fayette Street Outreach,2019-01-08T05:00:00Z,Western,0162 103 010819
0163,1807 PENROSE AVE,9,"(39.29110469, -76.64601129)",087,Franklin Square,2018-12-16T05:00:00Z,Western,0163 087 121618
0164,257 N BRUCE ST,9,"(39.29187596, -76.64449652)",068,Franklin Square,2019-01-27T05:00:00Z,Western,0164 068 012719
0168,1323 W SARATOGA ST,9,"(39.29201175, -76.63942496)",049,Franklin Square,2018-12-16T05:00:00Z,Western,0168 049 121618
0170,227 N CARROLLTON AVE,9,"(39.29204436, -76.63670985)",026,Poppleton,2018-10-31T04:00:00Z,Western,0170 026 103118
0174,2226 W FAYETTE ST,9,"(39.28948605, -76.65232335)",044,Penrose/Fayette Street Outreach,2018-10-17T04:00:00Z,Western,0174 044 101718
0174,2210 W FAYETTE ST,9,"(39.28949872, -76.65193791)",052,Penrose/Fayette Street Outreach,2018-11-09T05:00:00Z,Western,0174 052 110918
0175,2135 W LEXINGTON ST,9,"(39.29023184, -76.65112228)",018,Penrose/Fayette Street Outreach,2019-01-08T05:00:00Z,Western,0175 018 010819
0175,2122 VINE ST,9,"(39.29003384, -76.65079482)",041,Penrose/Fayette Street Outreach,2019-01-08T05:00:00Z,Western,0175 041 010819
0176,105 N PULASKI ST,9,"(39.28980448, -76.64991088)",024,Penrose/Fayette Street Outreach,2018-11-09T05:00:00Z,Western,0176 024 110918
0176,2005 W LEXINGTON ST,9,"(39.29028694, -76.64935441)",041,Penrose/Fayette Street Outreach,2018-10-31T04:00:00Z,Western,0176 041 103118
0185,1050 W FAYETTE ST,9,"(39.29008495, -76.63534099)",026,Poppleton,2018-12-31T05:00:00Z,Western,0185 026 123118
0185,105 N CARROLLTON AVE,9,"(39.29017871, -76.6365998)",050,Poppleton,2018-12-24T05:00:00Z,Western,0185 050 122418
0185,1046 VINE ST,9,"(39.29056259, -76.63558036)",164,Poppleton,2018-10-19T04:00:00Z,Western,0185 164 101918
0189,2247 W FAYETTE ST,9,"(39.28909016, -76.65278436)",023,Penrose/Fayette Street Outreach,2018-10-31T04:00:00Z,Western,0189 023 103118
0189,2203 W FAYETTE ST,9,"(39.28912502, -76.65172844)",045,Penrose/Fayette Street Outreach,2018-10-17T04:00:00Z,Western,0189 045 101718
0189,2201 W FAYETTE ST,9,"(39.289127, -76.65167557)",046,Penrose/Fayette Street Outreach,2018-10-17T04:00:00Z,Western,0189 046 101718
0192,18 N MONROE ST,9,"(39.28896892, -76.64722773)",029,Penrose/Fayette Street Outreach,2018-10-29T04:00:00Z,Western,0192 029 102918
0192,1943 W FAYETTE ST,9,"(39.2892361, -76.64815329)",055,Penrose/Fayette Street Outreach,2019-01-08T05:00:00Z,Western,0192 055 010819
0196,9 N GILMOR ST,9,"(39.28883538, -76.64219608)",026,Franklin Square,2018-12-16T05:00:00Z,Western,0196 026 121618
0196,1506 W BALTIMORE ST,9,"(39.28860572, -76.64130807)",044,Franklin Square,2019-01-06T05:00:00Z,Western,0196 044 010619
0199,1209 W FAYETTE ST,9,"(39.28954979, -76.63721188)",018,Poppleton,2018-09-10T04:00:00Z,Western,0199 018 091018
0199,14 N STOCKTON ST,9,"(39.2891196, -76.63757996)",038,Poppleton,2018-12-16T05:00:00Z,Western,0199 038 121618
0200,1029 W FAYETTE ST,9,"(39.28967091, -76.63463414)",015,Poppleton,2018-11-05T05:00:00Z,Western,0200 015 110518
0200,19 N CARROLLTON AVE,9,"(39.28941734, -76.63655281)",052,Poppleton,2018-11-16T05:00:00Z,Western,0200 052 111618
0200,1126 W BALTIMORE ST,9,"(39.2889307, -76.63656351)",061,Poppleton,2019-01-08T05:00:00Z,Western,0200 061 010819
0204,2154 HOLLINS ST,9,"(39.28711787, -76.6517041)",048,Boyd-Booth,2019-01-06T05:00:00Z,Southwestern,0204 048 010619
0204,2216 BOOTH ST,9,"(39.28752016, -76.65223588)",089,Boyd-Booth,2018-11-02T04:00:00Z,Southwestern,0204 089 110218
0206,2005 W BALTIMORE ST,9,"(39.2878564, -76.64890058)",043,Boyd-Booth,2018-11-20T05:00:00Z,Southwestern,0206 043 112018
0207,1901 W BALTIMORE ST,9,"(39.28790632, -76.64706562)",049,Boyd-Booth,2018-12-23T05:00:00Z,Southwestern,0207 049 122318
0209,1719 W BALTIMORE ST,9,"(39.2880858, -76.64468763)",008,Franklin Square,2019-01-07T05:00:00Z,Western,0209 008 010719
0212,1623 FREDERICK AVE,9,"(39.28784298, -76.64319294)",023,Union Square,2018-09-25T04:00:00Z,Southern,0212 023 092518
0215,1334 HOLLINS ST,9,"(39.28773522, -76.63924631)",026,Union Square,2019-01-07T05:00:00Z,Southern,0215 026 010719
